Metric,Value
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.310019
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,4.052793
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,195
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,82
design__max_fanout_violation__count__corner:min_ss_100C_1v60,39
design__max_cap_violation__count__corner:min_ss_100C_1v60,2
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.6403383560194462
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.6403383560194462
timing__hold__ws__corner:min_ss_100C_1v60,0.03192490806520429
timing__setup__ws__corner:min_ss_100C_1v60,-1.3323440505755453
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-166.75015973334217
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-1.3323440505755453
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.910388
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,283
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-1.332344
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,283
timing__unannotated_net__count__corner:min_ss_100C_1v60,195
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,39
design__max_cap_violation__count__corner:min_ff_n40C_1v95,2
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.40116153201455856
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.40116153201455856
timing__hold__ws__corner:min_ff_n40C_1v95,0.10656187345255723
timing__setup__ws__corner:min_ff_n40C_1v95,5.998379296382816
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.106562
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,6.596140
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,195
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,0
design__max_fanout_violation__count__corner:max_tt_025C_1v80,39
design__max_cap_violation__count__corner:max_tt_025C_1v80,6
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.48982019826585377
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.48982019826585377
timing__hold__ws__corner:max_tt_025C_1v80,0.3160256590311816
timing__setup__ws__corner:max_tt_025C_1v80,3.6825570302154977
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.316026
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,3.682557
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,195
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,183
design__max_fanout_violation__count__corner:max_ss_100C_1v60,39
design__max_cap_violation__count__corner:max_ss_100C_1v60,6
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.6731178027708725
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.6731178027708725
timing__hold__ws__corner:max_ss_100C_1v60,-0.17396284904996548
timing__setup__ws__corner:max_ss_100C_1v60,-2.044752869343733
timing__hold__tns__corner:max_ss_100C_1v60,-11.230331649161965
timing__setup__tns__corner:max_ss_100C_1v60,-369.9499975519582
timing__hold__wns__corner:max_ss_100C_1v60,-0.17396284904996548
timing__setup__wns__corner:max_ss_100C_1v60,-2.044752869343733
timing__hold_vio__count__corner:max_ss_100C_1v60,182
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.920030
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,351
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-2.044753
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,351
timing__unannotated_net__count__corner:max_ss_100C_1v60,195
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,39
design__max_cap_violation__count__corner:max_ff_n40C_1v95,6
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.41362173190577894
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.41362173190577894
timing__hold__ws__corner:max_ff_n40C_1v95,0.11096590627119485
timing__setup__ws__corner:max_ff_n40C_1v95,5.871945318405866
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.110966
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,5.890701
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,195
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,195
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79854
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79984
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.00145961
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00125579
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000164802
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00125579
design_powergrid__voltage__worst,0.00125579
design_powergrid__voltage__worst__net:VPWR,1.79854
design_powergrid__drop__worst,0.00145961
design_powergrid__drop__worst__net:VPWR,0.00145961
design_powergrid__voltage__worst__net:VGND,0.00125579
design_powergrid__drop__worst__net:VGND,0.00125579
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00016400000000000000189605275924265015419223345816135406494140625
ir__drop__worst,0.0014599999999999999263089467405052346293814480304718017578125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
